Country	Mountain	Latitude	Longitude	Elevation
India	Shiv Nag Mountain	33.894037	74.449233	4288 m
India	Lal Shah Ki Alam Mountain	33.88306	74.486128	3532 m
India	Handnal Mountain	33.803248	74.429439	4053 m
India	Baba Pahar Mountain	33.75801	74.405999	3760 m
India	Naushera Mountain	33.771777	74.427684	4282 m
India	Farish Mountain	33.804011	74.450051	4267 m
India	Khari Mountain	33.79413	74.483462	4159 m
India	Nupur Neza Mountain	33.781567	74.467877	4215 m
India	Hundru Mountain	33.760822	74.491406	4116 m
India	Kokarbai Mountain	34.459529	74.784094	3872 m
India	Baribal Mountain	34.454586	74.800936	3978 m
India	Choatar Mountain	34.467807	74.815478	3691 m
India	Khach Mountain	34.474079	74.859678	3859 m
India	Kaiyinmarg Mountain	34.457655	74.848738	4017 m
India	Lolikhi Mountain	34.629973	75.104285	4209 m
India	Sateni Mountain	34.616788	75.046906	3643 m
India	Gagarbal Mountain	34.492851	74.883403	1106 m
India	Nichinai Mountain	34.475625	74.92435	4463 m
India	Shonshpahl Mountain	34.458358	74.92397	4176 m
India	Kana Sar Mountain	34.45467	74.947776	4312 m
India	Jarog Mountain	34.599939	75.081675	3904 m
India	Kinkor Mountain	34.583624	75.112431	3638 m
India	Makneli Mountain	34.569491	75.275055	3972 m
India	Gutumishungi Chhish Mountain	34.564876	75.336675	4640 m
India	Noli Dub Mountain	34.513106	75.261226	4128 m
India	Abdullun Dhar Mountain	34.515886	75.284037	3722 m
India	Kotho Phia Mountain	34.506606	75.303091	3499 m
India	Chhillo Phia Mountain	34.532104	75.334377	4249 m
India	Sire Shhish Mountain	34.515316	75.352322	4719 m
India	Hapat Nak Mountain	34.446449	74.769606	3693 m
India	Sariwas Mountain	34.393746	74.783484	3190 m
India	Yamal Mountain	34.445431	74.816246	3877 m
India	Trewa Mountain	34.397714	74.818267	3782 m
India	Chhamar Mountain	34.381667	74.874959	3800 m
India	Zhakhran Mountain	34.34135	74.800146	3451 m
India	Khachi Handar Mountain	34.357718	74.851882	4151 m
India	Alastiung Mountain	34.19822	74.825235	1653 m
India	Hari Prabhat Mountain	34.1053805	74.8184599	375 m
India	Andarun Sar Mountain	34.451072	74.919847	4192 m
India	Zalibal Mountain	34.440119	74.963823	4159 m
India	Haramukh Mountain	34.400842	74.91743	4231 m
India	Tilwankain Mountain	34.376357	74.897127	4346 m
India	Kaul Sar Mountain	34.386117	74.946139	3730 m
India	Braham Sar Mountain	34.374465	74.935536	3959 m
India	Karala Sangari Mountain	34.102654	74.883461	1650 m
India	Mahadeo Mountain	34.150932	74.985469	3684 m
India	Kolahoi Mountain	34.166428	75.326846	4808 m
India	Kumdan Mountain	35.1737078	77.5291543	5710 m
India	Sariling Mountain	34.65828	76.222105	4356 m
India	Sanma Chharo Mountain	34.622616	76.011797	4285 m
India	Phulyat Phuto Mountain	34.619079	76.072208	3763 m
India	Gormukh Mountain	34.657922	76.366629	3712 m
India	Bonothombo Mountain	34.625925	76.370143	3395 m
India	Gripches Go Mountain	34.616575	76.36669	3704 m
India	Lagma Go Mountain	34.604262	76.363436	4051 m
India	Biamocheni Gob Mountain	34.575873	76.316622	4222 m
India	Shashi Chhu Mountain	34.567962	76.354224	4247 m
India	Bardum Mountain	34.533313	76.309895	4539 m
India	Nunkun Mountain	33.980075	76.021071	7077 m
India	Saser Mountain	34.867002	77.7490077	7463 m
India	Saser Muztagh Mountain	34.6651918	77.8334158	6235 m
India	Shukpa Kunchang Mountain	34.7998508	77.9001084	6001 m
India	Kunsang Mountain	34.4622078	77.9840994	5082 m
India	Stok Kangari Mountain	33.987062	77.440636	5938 m
India	Tor Devata Mountain	33.703816	74.025649	4566 m
India	Pir Maranot Ghazir Mountain	33.716019	74.111233	2027 m
India	Sanala Mal Mountain	33.508091	74.178099	1175 m
India	Tatakuti Mountain	33.749447	74.483356	3997 m
India	Savid Fajal Shah Mountain	33.524765	74.200382	2012 m
India	Pir Satawan Mountain	33.246902	74.016592	3551 m
India	Bagla Gala Mountain	33.310495	74.147928	1398 m
India	Khalabat Mountain	33.283431	74.156066	1274 m
India	Duranni Gala Mountain	33.271888	74.13614	1016 m
India	Kallar Gala Mountain	33.254192	74.158506	3138 m
India	Tang Ni Dhar Mountain	33.211032	74.150075	929 m
India	Koti Dhar Mountain	33.149677	74.152698	1683 m
India	Batrai Gala Mountain	33.360938	74.202675	4136 m
India	Ambli Dhar Mountain	33.194352	74.205489	977 m
India	Tain Dhar Mountain	33.185943	74.23612	3215 m
India	Koman Gosma Dhar Mountain	33.119014	74.200061	3228 m
India	Thil Mountain	33.121139	74.441968	2746 m
India	Sanker Mountain	33.127635	74.451765	3072 m
India	Mathhi Bhaur Mountain	32.978618	74.407671	571 m
India	Nathuan Tibba Mountain	32.927579	74.383018	1757 m
India	Buchahe Mountain	32.897012	74.442134	472 m
India	Chinota Mountain	32.894387	74.480799	391 m
India	Pir Panjal Mountain	33.415762	75.584088	2670 m
India	Sireali Mountain	32.897146	74.57509	1535 m
India	Tam Ka Tilla Mountain	32.89158	74.549968	496 m
India	Thinda Mountain	32.891435	74.584529	443 m
India	Trikta Mountain	33.032897	74.967107	2184 m
India	Danda Mountain	32.867545	74.944293	2065 m
India	Bhagavangarh Mountain	32.691394	74.949962	1949 m
India	Zaskar Mountain	33.249256	77.666154	4547 m
India	Chumik Mountain	32.671497	78.248242	5392 m
India	Shilla Mountain	32.405053	78.200948	5916 m
India	Solasinghi Mountain	31.645213	76.383902	2048 m
India	Jakko Mountain	31.099073	77.18407	2000 m
India	Deo Tibbo Mountain	32.199569	77.385005	6001 m
India	Leo Pargial Mountain	31.884926	78.739964	6451 m
India	Kidarkanta Mountain	31.020415	78.168967	3465 m
India	Swargarohini	31.084444	78.516111	6252 m
India	Yamunotri	31.021331	78.41071	4421 m
India	Lalariyo Mountain	28.595951	74.510591	779 m
India	Gogana Mountain	28.735892	74.697075	748 m
India	Tain Mountain	28.678271	74.740944	781 m
India	Morchhaliyo Mountain	30.666155	77.083262	2625 m
India	Karn Ka Tilla	29.949116	76.804571	858 m
India	Chur Mountain	30.8360315	77.5424138	3010 m
India	Mussorie Mountain	30.71512	77.41936	2500 m
India	Nag Tibba Mountain	30.570672	78.146244	2885 m
India	Khudana Mountain	28.396506	76.097652	1564 m
India	Maniara Mountain	23.483162	68.618068	163 m
India	Jhaura Mountain	23.399427	69.583775	512 m
India	Varar Mountain	23.34923	69.56614	950 m
India	Bhujio Mountain	23.2444006	69.6927009	645 m
India	Sunda Mountain	24.778798	72.419653	3078 m
India	Guru Sikhar	24.64907	72.76698	1722 m
